City of Origin,Destination City,Stopover City,Vehicle Plate,Distance (km),Vehicle Type,Speed (km/h),Fuel Consumption (L/100km),Traffic Congestion,Adjusted Speed (km/h),Travel Time (hours),Total Fuel Consumption (L),Peak Time,Off-Peak Time,Free-Flow Speed (km/h),Free-Flow Time (hours),Travel Time Index (TTI),Load Weight (pounds)
Nairobi,Kisumu,,NAI-KIS-0000,341.0,Coupe,72.31549371628803,16.78881145912852,High,52.31549371628803,6.518145501011151,57.24984707562826,7.829561032715429,5.710668582190517,130,2.623076923076923,2.4849235047843097,718.4383532207735
Bujumbura,Gitega,,BUJ-GIT-0001,98.9,Hybrid,58.895993647535946,5.902852355490157,Medium,58.895993647535946,1.6792313682976248,5.837920979579766,2.0110695101479203,1.2149295470827477,100,0.9890000000000001,1.69790836026049,805.4184948965168
Nairobi,Bujumbura,,NAI-BUJ-0002,1281.0,Saloon,78.1076742252252,11.78644860556815,High,58.107674225225196,22.04528088725161,150.98440663732802,25.848074110271497,17.53053049706408,110,11.645454545454545,1.8930373907866334,689.4381507603614
Kampala,Kigali,,KAM-KIG-0003,511.0,Hybrid,41.85823620535061,6.924269607799614,Medium,41.85823620535061,12.207872245096665,35.383017695856026,14.344186006997912,10.196452171574673,100,5.11,2.389016094930854,814.2331684291668
Kisumu,Bujumbura,,KIS-BUJ-0004,1064.0,Hybrid,41.96799245661376,7.942347724368492,Low,61.96799245661376,17.17015442681879,84.50657978728076,20.367696236333906,15.099745478172723,100,10.64,1.6137363183100366,940.9691228845942
Kisumu,Kampala,,KIS-KAM-0005,324.0,Truck,84.75500145331222,34.73978617240354,High,64.75500145331222,5.003474522869112,112.55690719858747,5.519865460531525,3.884716846820403,90,3.6,1.389854034130309,1236.2327154460513
Lamu Port,Nairobi,,LAM-NAI-0006,697.0,Saloon,88.22285321021765,8.293101550276734,Low,108.22285321021765,6.440414194644372,57.80291780542884,7.1920695088868065,4.911575885948163,110,6.336363636363636,1.0164211784948078,522.9846026545351
Nairobi,Arusha,,NAI-ARU-0007,902.0,Saloon,104.35096339995835,11.129982585600484,Medium,104.35096339995835,8.643906779689205,100.39244292211637,10.381415058506875,7.629052842433503,110,8.2,1.05413497313283,646.5497175879029
Dar es Salaam,Nairobi,Mombasa,DAR-NAI-0008,822.0,Saloon,59.22495872617509,14.37381335561329,High,39.22495872617509,20.95604499518501,118.15274578314124,23.680843283648578,14.868453364895336,110,7.472727272727273,2.8043369214967777,866.0067901016452
Bujumbura,Gitega,,BUJ-GIT-0009,98.9,Hybrid,85.44814304338618,10.121936909062061,Low,105.44814304338618,0.9379017699658118,10.010595603062379,1.1777725127127614,0.7464939307367021,100,0.9890000000000001,0.9483334377814071,907.2418784536272
Kampala,Kigali,,KAM-KIG-0010,511.0,Coupe,112.55084222766428,10.003398210964423,Low,132.55084222766428,3.85512450477173,51.1173648580282,4.45227185934918,3.052199651806934,130,3.9307692307692306,0.9807557448538649,481.21824056597245
Nairobi,Dar es Salaam,Mombasa,NAI-DAR-0011,1012.0,Saloon,62.66040150245156,12.50634398741804,Low,82.66040150245156,12.242863349387262,126.56420115267056,13.706864060730457,8.927634087884435,110,9.2,1.330746016237746,771.3646878478354
Bujumbura,Gitega,,BUJ-GIT-0012,98.9,Hybrid,53.183365006623816,8.070701877621342,Medium,53.183365006623816,1.8596040319690628,7.981924156967508,2.133043900479809,1.4486129862142478,100,0.9890000000000001,1.8802871910708419,628.1133607446158
Kampala,Kigali,,KAM-KIG-0013,511.0,Truck,79.10009127969707,31.759287771467612,High,59.10009127969707,8.646348743890117,162.2899605121995,10.128502785029706,7.3020139915513855,90,5.677777777777778,1.5228402875736018,1078.8295975922224
Nairobi,Kisumu,,NAI-KIS-0014,341.0,Coupe,97.19570635155158,15.92189938275245,Low,117.19570635155158,2.9096629101505087,54.293676895185854,3.2211810863937265,2.2502567383101804,130,2.623076923076923,1.1092556548960884,587.5669455903218
Nairobi,Kampala,Kisumu,NAI-KAM-0015,663.0,Truck,81.93108980990283,29.821636269263905,Medium,81.93108980990283,8.092166252619096,197.7174484652197,9.13067525733324,6.1656811934069875,90,7.366666666666666,1.098484106690375,1152.6957022885533
Kampala,Kigali,,KAM-KIG-0016,511.0,Coupe,83.70555113850521,10.740117803855476,Medium,83.70555113850521,6.104732518330388,54.882001977701485,7.110605332766361,5.227965337232272,130,3.9307692307692306,1.5530630672856174,411.7119306720577
Nairobi,Kigali,Arusha,NAI-KIG-0017,1354.0,Hybrid,58.89046932452412,5.817628754137664,Medium,58.89046932452412,22.99183578481256,78.77069333102398,26.7187225769388,20.64076152301989,100,13.54,1.698067635510529,887.0046124900828
Kisumu,Wau,,KIS-WAU-0018,1488.0,SUV,76.3895772221967,12.095192243125322,High,56.389577222196706,26.38785522609445,179.97646057770478,33.250738403446505,22.584586180943166,120,12.4,2.1280528408140684,1615.5877448973906
